media_source,date,earnings,cost
Facebook Ads,2020-08-22,3841.8,5940.63
Facebook Ads,2020-08-23,4456.85,8176.44
Facebook Ads,2020-08-24,4554.4,6770.04
Facebook Ads,2020-08-25,4036.19,4473.46
Facebook Ads,2020-08-26,4301.389999999999,3030.51
Facebook Ads,2020-08-27,5210.56,2983.23
Facebook Ads,2020-08-28,3802.36,2902.66
Facebook Ads,2020-08-29,3917.53,3687.49
Facebook Ads,2020-08-30,4359.92,2402.79
Facebook Ads,2020-08-31,4505.7699999999995,3953.06
Facebook Ads,2020-09-01,4460.58,3060.5299999999997
Facebook Ads,2020-09-02,4560.849999999999,2712.18
Facebook Ads,2020-09-03,4440.89,2878.84
Facebook Ads,2020-09-04,3909.71,3423.4300000000003
Facebook Ads,2020-09-05,3613.64,3073.38
Facebook Ads,2020-09-06,4631.05,3906.4199999999996
Facebook Ads,2020-09-07,4654.88,4257.32
Facebook Ads,2020-09-08,4423.96,4318.09
Facebook Ads,2020-09-09,5380.25,5505.1900000000005
Facebook Ads,2020-09-10,5206.23,4531.52
Facebook Ads,2020-09-11,4449.25,3866.85
Facebook Ads,2020-09-12,4564.41,5309.599999999999
Facebook Ads,2020-09-13,4795.53,4447.17
Facebook Ads,2020-09-14,5251.0,5182.13
Facebook Ads,2020-09-15,5103.62,4359.71
Facebook Ads,2020-09-16,5274.95,5082.79
Facebook Ads,2020-09-17,4758.19,4197.96
Facebook Ads,2020-09-18,3973.31,2539.71
Facebook Ads,2020-09-19,3881.4,2390.57
Facebook Ads,2020-09-20,4220.58,2256.69
Facebook Ads,2020-09-21,4958.93,3049.6
Facebook Ads,2020-09-22,4350.42,3812.1
Facebook Ads,2020-09-23,4811.52,3240.17
Facebook Ads,2020-09-24,4563.64,3210.39
Facebook Ads,2020-09-25,3847.19,2776.75
Facebook Ads,2020-09-26,3528.63,3332.26
Facebook Ads,2020-09-27,3879.2799999999997,3152.01
Facebook Ads,2020-09-28,4273.18,2544.62
Facebook Ads,2020-09-29,4492.28,2774.0
Facebook Ads,2020-09-30,1871.1999999999998,2981.33
Google Ads,2020-07-01,0.0,0.0
Google Ads,2020-07-02,0.0,0.0
Google Ads,2020-07-03,0.0,0.0
Google Ads,2020-07-04,0.0,0.0
Google Ads,2020-07-05,0.0,0.0
Google Ads,2020-07-06,1.0,1.16
Google Ads,2020-07-07,0.0,5.4
Google Ads,2020-07-08,0.0,21.36
Google Ads,2020-07-09,0.0,15.11
Google Ads,2020-07-10,0.0,23.39
Google Ads,2020-07-11,0.0,22.63
Google Ads,2020-07-12,0.0,8.06
Google Ads,2020-07-13,9.99,3.66
Google Ads,2020-07-14,0.5,7.06
Google Ads,2020-07-15,0.0,13.36
Google Ads,2020-07-16,0.0,12.65
Google Ads,2020-07-17,0.0,9.06
Google Ads,2020-07-18,0.0,9.61
Google Ads,2020-07-19,10.99,9.86
Google Ads,2020-07-20,1.0,23.16
Google Ads,2020-07-21,59.980000000000004,39.07
Google Ads,2020-07-22,0.0,80.66
Google Ads,2020-07-23,0.5,133.37
Google Ads,2020-07-24,1.0,185.17
Google Ads,2020-07-25,0.0,173.68
Google Ads,2020-07-26,10.99,152.33
Google Ads,2020-07-27,19.48,170.95
Google Ads,2020-07-28,7.99,65.48
Google Ads,2020-07-29,0.0,0.49
Google Ads,2020-07-30,0.0,0.82
Google Ads,2020-07-31,0.5,2.64
Google Ads,2020-08-01,7.99,2.23
Google Ads,2020-08-02,19.98,1.38
Google Ads,2020-08-03,9.99,1.16
Google Ads,2020-08-04,7.99,1.29
Google Ads,2020-08-05,0.0,4.44
Google Ads,2020-08-06,0.0,2.65
Google Ads,2020-08-07,0.0,6.74
Google Ads,2020-08-08,0.0,21.29
Google Ads,2020-08-09,9.99,29.07
Google Ads,2020-08-10,10.49,21.05
Google Ads,2020-08-11,0.0,9.65
Google Ads,2020-08-12,0.5,7.14
Google Ads,2020-08-13,0.0,6.2
Google Ads,2020-08-14,0.0,24.64
Google Ads,2020-08-15,7.99,125.49
Google Ads,2020-08-16,9.99,91.25
Google Ads,2020-08-17,9.99,103.9
Google Ads,2020-08-18,0.0,42.11
Google Ads,2020-08-19,14.99,218.22
Google Ads,2020-08-20,3.0,213.13
Google Ads,2020-08-21,23.48,502.95
Google Ads,2020-08-22,99.94,1011.9
Google Ads,2020-08-23,57.45,560.15
Google Ads,2020-08-24,94.95,384.5
Google Ads,2020-08-25,125.96000000000001,619.25
Google Ads,2020-08-26,164.93,1002.3
Google Ads,2020-08-27,137.41,959.51
Google Ads,2020-08-28,156.93,893.75
Google Ads,2020-08-29,179.4,420.88
Google Ads,2020-08-30,392.82,1107.36
Google Ads,2020-08-31,242.38,631.24
Google Ads,2020-09-01,157.93,558.64
Google Ads,2020-09-02,175.33,557.41
Google Ads,2020-09-03,201.34,572.82
Google Ads,2020-09-04,250.83,533.22
Google Ads,2020-09-05,264.86,704.67
Google Ads,2020-09-06,312.82,929.32
Google Ads,2020-09-07,360.81,946.75
Google Ads,2020-09-08,306.82,745.13
Google Ads,2020-09-09,306.78000000000003,751.03
Google Ads,2020-09-10,663.59,1374.75
Google Ads,2020-09-11,476.25,1663.85
Google Ads,2020-09-12,483.65,2272.3
Google Ads,2020-09-13,732.6,2281.3
Google Ads,2020-09-14,793.6,1951.61
Google Ads,2020-09-15,773.56,1793.35
Google Ads,2020-09-16,605.11,1248.38
Google Ads,2020-09-17,862.95,1370.86
Google Ads,2020-09-18,792.49,1526.01
Google Ads,2020-09-19,1120.83,1123.55
Google Ads,2020-09-20,885.94,1019.7
Google Ads,2020-09-21,924.9,683.93
Google Ads,2020-09-22,1010.8100000000001,1014.75
Google Ads,2020-09-23,591.53,950.96
Google Ads,2020-09-24,1049.82,1803.96
Google Ads,2020-09-25,937.3100000000001,1613.88
Google Ads,2020-09-26,1383.64,1432.19
Google Ads,2020-09-27,1202.21,1488.04
Google Ads,2020-09-28,749.97,1364.74
Google Ads,2020-09-29,957.26,1559.28
Google Ads,2020-09-30,491.13,1200.14
