media_source,date,country_code,earnings,cost
ByteDance,2020-09-10,RU,8.49,136.17
ByteDance,2020-09-10,US,233.27,1122.65
ByteDance,2020-09-11,CA,0.0,8.94
ByteDance,2020-09-11,DE,0.0,31.21
ByteDance,2020-09-11,GB,0.0,15.91
ByteDance,2020-09-11,PL,0.0,12.26
ByteDance,2020-09-11,RU,0.0,0.0
ByteDance,2020-09-11,US,180.32,328.08
ByteDance,2020-09-12,CA,0.0,2.42
ByteDance,2020-09-12,DE,0.0,3.44
ByteDance,2020-09-12,GB,0.0,0.24
ByteDance,2020-09-12,PL,0.0,1.84
ByteDance,2020-09-12,RU,0.0,0.0
ByteDance,2020-09-12,US,224.81,38.91
ByteDance,2020-09-13,PL,0.0,0.0
ByteDance,2020-09-13,RU,0.0,0.0
ByteDance,2020-09-13,US,108.89,151.65
ByteDance,2020-09-14,PL,0.0,0.0
ByteDance,2020-09-14,RU,0.0,0.0
ByteDance,2020-09-14,US,78.42,102.02
ByteDance,2020-09-15,DE,0.0,0.0
ByteDance,2020-09-15,RU,0.0,0.0
ByteDance,2020-09-15,US,186.31,3.06
ByteDance,2020-09-16,GB,0.0,0.0
ByteDance,2020-09-16,RU,0.0,0.0
ByteDance,2020-09-16,US,219.77,25.56
ByteDance,2020-09-17,US,269.77,2.54
ByteDance,2020-09-18,US,129.87,0.17
ByteDance,2020-09-19,US,155.84,0.77
ByteDance,2020-09-20,US,97.9,0.0
ByteDance,2020-09-21,US,39.96,10.46
ByteDance,2020-09-22,US,138.86,63.54
ByteDance,2020-09-23,CA,0.0,16.41
ByteDance,2020-09-23,DE,0.0,10.73
ByteDance,2020-09-23,GB,0.0,19.17
ByteDance,2020-09-23,PL,0.0,7.97
ByteDance,2020-09-23,RU,0.0,9.83
ByteDance,2020-09-23,US,163.83,1.45
ByteDance,2020-09-24,CA,0.0,14.03
ByteDance,2020-09-24,DE,0.0,21.66
ByteDance,2020-09-24,GB,0.0,31.2
ByteDance,2020-09-24,PL,0.0,10.84
ByteDance,2020-09-24,RU,0.5,44.99
ByteDance,2020-09-24,US,219.78,6.8
ByteDance,2020-09-25,CA,0.0,28.61
ByteDance,2020-09-25,DE,0.0,22.56
ByteDance,2020-09-25,GB,0.0,32.21
ByteDance,2020-09-25,PL,0.0,3.27
ByteDance,2020-09-25,RU,7.99,14.76
ByteDance,2020-09-25,US,140.36,11.64
ByteDance,2020-09-26,CA,0.5,35.93
ByteDance,2020-09-26,DE,0.0,0.0
ByteDance,2020-09-26,GB,0.0,28.33
ByteDance,2020-09-26,PL,0.0,0.0
ByteDance,2020-09-26,RU,0.0,0.0
ByteDance,2020-09-26,US,137.86,0.0
ByteDance,2020-09-27,CA,0.5,29.31
ByteDance,2020-09-27,DE,0.0,0.0
ByteDance,2020-09-27,GB,0.0,39.23
ByteDance,2020-09-27,US,117.88,0.0
ByteDance,2020-09-28,CA,10.49,22.0
ByteDance,2020-09-28,DE,0.0,0.0
ByteDance,2020-09-28,GB,0.0,66.52
ByteDance,2020-09-28,RU,0.0,0.0
ByteDance,2020-09-28,US,39.96,0.0
ByteDance,2020-09-29,CA,0.0,0.0
ByteDance,2020-09-29,GB,0.0,0.0
ByteDance,2020-09-29,RU,0.0,0.0
ByteDance,2020-09-29,US,118.38,0.0
ByteDance,2020-09-30,CA,0.0,4.98
ByteDance,2020-09-30,DE,0.0,11.29
ByteDance,2020-09-30,GB,0.0,2.06
ByteDance,2020-09-30,PL,0.0,11.2
ByteDance,2020-09-30,RU,0.0,24.98
ByteDance,2020-09-30,US,91.9,0.02
Facebook Ads,2020-07-01,BR,21.98,249.99
Facebook Ads,2020-07-01,CA,9.99,108.74
Facebook Ads,2020-07-01,DE,2.0,50.67
Facebook Ads,2020-07-01,GB,0.0,111.24
Facebook Ads,2020-07-01,HK,12.49,93.2
Facebook Ads,2020-07-01,MX,0.5,27.8
Facebook Ads,2020-07-01,PL,0.0,42.21
Facebook Ads,2020-07-01,RU,1.0,41.28
